foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q6742478,Malcolm Macnaghten,Q841045,Ulster Unionist Party,30743,Q3084303,General election 1922,1
,,Edmund Loftus MacNaghten,Q6016860,Independent Nationalist,9861,Q3084303,General election 1922,2
,Q6742478,Malcolm Macnaghten,Q841045,Ulster Unionist Party,30875,Q2632991,General election 1924,1
,,Charles MacWhinney,Q76382,Sinn Féin,5869,Q2632991,General election 1924,2
,,William Galt,Q6017344,Independent Unionist,517,Q2632991,General election 1924,3
,Q16006467,Ronald Ross,Q841045,Ulster Unionist Party,40214,Q918397,General election 1945,1
,,Denis Cavanagh,Q6979788,Nationalist Party (Northern Ireland),37561,Q918397,General election 1945,2
,,Milton Gordon,Q7058511,Northern Ireland Labour Party,1471,Q918397,General election 1945,3
,Q16006467,Ronald Ross,Q841045,Ulster Unionist Party,36602,Q748667,General election 1950,1
,Q5931709,Hugh McAteer,Q16847164,Independent Republican (Ireland),21880,Q748667,General election 1950,2
,Q7352318,Robin Chichester-Clark,Q841045,Ulster Unionist Party,35673,Q918412,General election 1955,1
,Q23696669,Manus Canning,Q76382,Sinn Féin,19640,Q918412,General election 1955,2
,Q7352318,Robin Chichester-Clark,Q841045,Ulster Unionist Party,37529,Q918420,General election 1959,1
,Q23696669,Manus Canning,Q76382,Sinn Féin,13872,Q918420,General election 1959,2
,Q7352318,Robin Chichester-Clark,Q841045,Ulster Unionist Party,37700,Q220208,General election 1964,1
,Q5931709,Hugh McAteer,Q16847164,Independent Republican (Ireland),21123,Q220208,General election 1964,2
,Q7352318,Robin Chichester-Clark,Q841045,Ulster Unionist Party,34729,Q918430,General election 1966,1
,Q7123481,Paddy Gormley,Q6979788,Nationalist Party (Northern Ireland),22167,Q918430,General election 1966,2
,,Neil Gillespie,Q16847164,Independent Republican (Ireland),2860,Q918430,General election 1966,3
,Q7352318,Robin Chichester-Clark,Q841045,Ulster Unionist Party,39141,Q918442,General election 1970,1
,Q5336292,Eddie McAteer,Q1650977,Unity (Northern Ireland),27006,Q918442,General election 1970,2
,Q2904605,Eamonn McCann,,,7565,Q918442,General election 1970,3
,Q16104546,William Ross,Q841045,Ulster Unionist Party,33060,Q119524,General election February 1974,1
,Q5931506,Hugh Logue,Q175443,Social Democratic and Labour Party,23670,Q119524,General election February 1974,2
,,Michael Montgomery,Q1860218,Republican Clubs,4889,Q119524,General election February 1974,3
,,Richard Foster,Q327591,Independent (politician),1162,Q119524,General election February 1974,4
,Q16104546,William Ross,Q841045,Ulster Unionist Party,35138,Q918508,General election October 1974,1
,Q193630,John Hume,Q175443,Social Democratic and Labour Party,26118,Q918508,General election October 1974,2
,,Michael Montgomery,Q1860218,Republican Clubs,2530,Q918508,General election October 1974,3
,,Richard Foster,Q327591,Independent (politician),846,Q918508,General election October 1974,4
,Q16104546,William Ross,Q841045,Ulster Unionist Party,31592,Q918450,General election 1979,1
,Q5931506,Hugh Logue,Q175443,Social Democratic and Labour Party,19185,Q918450,General election 1979,2
,,Arthur Barr,Q244927,Alliance Party of Northern Ireland,5830,Q918450,General election 1979,3
,Q1406218,Fergus McAteer,Q282906,Irish Independence Party,5489,Q918450,General election 1979,4
Q5325584,,Eamonn Melaugh,Q1860218,Republican Clubs,888,Q918450,General election 1979,5
,,William Webster,Q327591,Independent Labour,639,Q918450,General election 1979,6
